variety_id,product_url,scientific_name,scientific_name_variety,common_name_variety,common_name_variety_alternate,description,image,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec
pitahaya,pitahaya,Selenicereus undatus,,,,,products/pitahaya.png,0,0,0,0,2,3,3,3,3,2,1,0
platano_maduro,platano,Musa balbisiana,,maduro,,,products/platano_maduro.png,1,1,2,3,3,3,3,2,2,2,1,1
platano_verde,platano,Musa balbisiana,,verde,,,products/platano_verde.png,1,1,2,3,3,3,2,2,2,2,1,1
puerro,puerro,Allium ampeloprasum,porrum,,,,products/puerro.png,2,2,2,2,3,3,2,2,2,3,3,2
rabano_rabanito,rabano,Raphanus sativus,,rabanito,,,products/rabano_rabanito.png,2,2,3,3,3,3,2,2,3,3,3,2
rabano_blanco,rabano,Raphanus sativus,,blanco,,,products/rabano_blanco.png,2,2,3,3,3,3,2,2,3,3,3,2
remolacha,remolacha,Beta vulgari,,,,,products/remolacha.png,1,1,2,3,3,3,3,2,2,2,1,1
repollo_morado,repollo,Brassica oleracea,capita f. rubra,morado,,,products/repollo_morado.png,1,1,1,2,3,3,3,2,2,3,2,2
repollo_verde,repollo,Brassica oleracea,capita,verde,,,products/repollo_verde.png,1,1,1,2,3,3,3,2,2,3,2,2
romero,romero,Salvia rosmarinus,,,,,products/romero.png,2,2,2,2,2,2,2,2,2,2,2,2
ruda,ruda,Ruda graveolens,,,,,products/ruda.png,2,2,2,2,2,2,2,2,2,2,2,2
sabila,sabila,Aloe vera,,,,,products/sabila.png,2,2,2,2,2,2,2,2,2,2,2,2
salvia,salvia,Salvia officinalis,,,,,products/salvia.png,2,2,2,2,2,2,2,2,2,2,2,2
sandia,sandia,Citrullus lanatus,,,,,products/sandia.png,2,3,3,3,3,2,2,2,2,2,1,1
tacaco,tacaco,Sechium tacaco,,,,,products/tacaco.png,2,2,2,1,1,1,1,3,3,3,3,3
tamarindo,tamarindo,Tamarindus indica,,,,,products/tamarindo.png,2,3,3,2,2,2,2,2,2,1,1,1
tiquisque,tiquisque,Xanthosoma sagittifolium,Schott,,,,products/tiquisque.png,2,3,3,3,3,3,2,1,1,1,1,2
tomate_pera,tomate,Lycopersicon esculentum,,pera,,,products/tomate_pera.png,1,2,3,3,3,3,1,1,3,3,1,1
tomate_verde_mexicano,tomate,Physalis ixocarpa,,verde mexicano,,,products/tomate_verde_mexicano.png,1,2,3,3,3,3,1,1,3,3,1,1
tomate_cherry,tomate,Solanum lycopersicum,cerasiforme,cherry,,,products/tomate_cherry.png,1,2,3,3,3,3,1,1,3,3,1,1
tomate_mesa,tomate,Solanum lycopersicum,,mesa,,,products/tomate_mesa.png,1,2,3,3,3,3,1,1,3,3,1,1
tomillo,tomillo,Thymus vulgaris,,,,,products/tomillo.png,2,2,2,2,2,2,2,2,2,2,2,2
toronja,toronja,Citrus × paradisi,,,grape fruit toronja,,products/toronja.png,1,2,3,3,3,3,2,1,1,1,1,1
uchuva,uchuva,Physalis peruviana,,,,,products/uchuva.png,1,3,3,3,2,1,1,3,3,3,3,2
uva_roja,uva,Vitis vinifera ,,roja,,,products/uva_roja.png,1,3,3,3,2,1,1,3,3,3,3,2
uva_verde,uva,Vitis vinifera ,,verde,,,products/uva_verde.png,1,3,3,3,2,1,1,3,3,3,3,2
vainica_tierna,vainica,Phaseolus vulgaris,in situ,tierna,,,products/vainica_tierna.png,1,1,2,3,2,2,3,2,2,2,2,2
yuca,yuca,Manihot esculenta,,,,,products/yuca.png,1,3,3,3,2,2,1,1,2,3,3,2
zacatelimon,zacatelimon,Cymbopogon citratus,,,,,products/zacatelimon.png,2,2,2,2,2,2,2,2,2,2,2,2
zanahoria,zanahoria,Daucus carota,,,,,products/zanahoria.png,2,3,2,2,3,2,1,1,2,3,3,3
zapallo_esmeralda,zapallo,Cucurbita moschata,,esmeralda,,,products/zapallo_esmeralda.png,1,1,1,3,3,2,3,3,3,3,2,1
zapallo,zapallo,Cucurbita moschata,,,,,products/zapallo.png,1,1,1,3,3,2,3,3,3,3,2,1
zucchini_escalopin_colores,zucchini,Cucurbita pepo,sunburst,escalopín colores,,,products/zucchini_escalopin_colores.png,,,,,,,,,,,,
zucchini,zucchini,Cucurbita pepo,,,calabacín,,products/zucchini.png,1,1,1,3,3,2,3,3,3,3,2,1
