variety_id,product_url_id,scientific_name,scientific_name_variety,common_name_variety,common_name_variety_alternate,description,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec
104,mandarina,Citrus reticulata,,nacional,,,3.0,3.0,3.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
105,mango,Mangifera indica,,,,,2.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0
106,manzana,Malus domestica,gala,gala,,,3.0,2.0,1.0,2.0,3.0,3.0,3.0,3.0,2.0,2.0,1.0,1.0
107,manzana,Malus domestica,× M. sylvestris,granny,,,3.0,2.0,1.0,2.0,3.0,3.0,3.0,3.0,2.0,2.0,1.0,1.0
108,manzana,Malus domestica ,,washinton,,,3.0,2.0,1.0,2.0,3.0,3.0,3.0,3.0,2.0,2.0,1.0,1.0
109,manzanadeagua,Syzygium malaccense,,,,,3.0,2.0,1.0,2.0,3.0,3.0,3.0,3.0,2.0,2.0,1.0,1.0
110,manzanilla,Chamaemelum nobile,,,,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
111,maracuya,Passiflora edulis,,,,,3.0,1.0,1.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0
112,melocoton,Prunus persica,,,,,1.0,1.0,1.0,1.0,1.0,2.0,3.0,3.0,3.0,2.0,1.0,1.0
113,melon,Cucumis melo,,,,,3.0,3.0,3.0,3.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0
114,menta,Mentha × piperita,,,,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
115,mora,Rubus ulmifolius,,,,,3.0,3.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0
116,mostazachina,Brassica juncea,,,,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
117,mozote,Bidens pilosa,,,,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
118,name,Dioscorea alata,,,,,3.0,3.0,3.0,2.0,1.0,1.0,1.0,1.0,2.0,3.0,3.0,3.0
119,nampi,Dioscorea trifida,,,,,3.0,3.0,3.0,2.0,1.0,1.0,1.0,1.0,2.0,3.0,3.0,3.0
120,naranja,Citrus × aurantium,,agria,,,3.0,2.0,2.0,2.0,2.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0
121,naranja,Citrus × sinensis,,,,,3.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0
122,naranja,Citrus × sinensis,washinton navel,washinton,,,3.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0
123,oregano,Origanum vulgare,,,,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
124,palmito,Chamaerops humilis,,tierno,,,2.0,2.0,3.0,3.0,3.0,2.0,1.0,1.0,1.0,1.0,2.0,3.0
125,papa,Solanum tuberosum,,amarilla,,,2.0,2.0,2.0,2.0,2.0,2.0,1.0,3.0,3.0,3.0,2.0,2.0
126,papa,Solanum tuberosum,kennebec,blanca,,,1.0,1.0,2.0,2.0,2.0,2.0,1.0,3.0,3.0,3.0,2.0,2.0
127,papa,Solanum tuberosum,,burra,,,2.0,2.0,2.0,2.0,2.0,2.0,1.0,3.0,3.0,3.0,2.0,2.0
128,papa,Solanum tuberosum,,mini,,,2.0,2.0,2.0,2.0,2.0,2.0,1.0,3.0,3.0,3.0,2.0,2.0
129,papaya,Carica papaya,,,,,1.0,3.0,3.0,3.0,3.0,2.0,3.0,1.0,1.0,2.0,2.0,1.0
130,pejibaye,Bactris gasipaes,,,,,2.0,2.0,3.0,3.0,3.0,2.0,1.0,1.0,1.0,1.0,2.0,3.0
131,pepino,Cucumis sativus,,,,,1.0,1.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,1.0,1.0
132,pera,Pyrus communis,,,,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,2.0,2.0
133,perejil,Petroselinum crispum,neapolitanum,italiano,,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
